Order,species.name,phylo.name,mean.uvb
Anura,Anomaloglossus_beebei,Anomaloglossus_beebei,5945.92
Anura,Anomaloglossus_blanci,,5247.39
Anura,Anomaloglossus_breweri,Anomaloglossus_breweri,5297.41
Anura,Ectopoglossus_confusus,Anomaloglossus_confusus,6656.09
Anura,Anomaloglossus_degranvillei,Anomaloglossus_degranvillei,5948.57
Anura,Anomaloglossus_dewynteri,,5925.38
Anura,Anomaloglossus_guanayensis,Anomaloglossus_guanayensis,5384.21
Anura,Ectopoglossus_isthminus,Anomaloglossus_isthminus,4551.73
Anura,Anomaloglossus_kaiei,Anomaloglossus_kaiei,5966.26
Anura,Ectopoglossus_lacrimosus,Anomaloglossus_lacrimosus,4632.72
Anura,Anomaloglossus_leopardus,Anomaloglossus_leopardus,5859.32
Anura,Anomaloglossus_meansi,,
Anura,Anomaloglossus_megacephalus,,5796.87
Anura,Anomaloglossus_mitaraka,,
Anura,Anomaloglossus_moffetti,Anomaloglossus_moffetti,5772.9
Anura,Anomaloglossus_murisipanensis,Anomaloglossus_murisipanensis,5525.9
Anura,Anomaloglossus_parimae,Anomaloglossus_parimae,5639.61
Anura,Anomaloglossus_parkerae,Anomaloglossus_parkerae,5735.16
Anura,Anomaloglossus_praderioi,Anomaloglossus_praderioi,5710.76
Anura,Anomaloglossus_roraima,Anomaloglossus_roraima,5714.19
Anura,Anomaloglossus_rufulus,Anomaloglossus_rufulus,5677.95
Anura,Anomaloglossus_saramaka,,
Anura,Anomaloglossus_shrevei,Anomaloglossus_shrevei,5390.77
Anura,Anomaloglossus_stepheni,Anomaloglossus_stepheni,5165.11
Anura,Anomaloglossus_surinamensis,Anomaloglossus_surinamensis,5898.33
Anura,Anomaloglossus_tamacuarensis,Anomaloglossus_tamacuarensis,5319.29
Anura,Anomaloglossus_tepequem,,
Anura,Anomaloglossus_tepuyensis,Anomaloglossus_tepuyensis,5462.66
Anura,Anomaloglossus_triunfo,Anomaloglossus_triunfo,6070.67
Anura,Anomaloglossus_vacheri,,
Anura,Anomaloglossus_verbeeksnyderorum,Anomaloglossus_verbeeksnyderorum,5262.85
Anura,Anomaloglossus_wothuja,Anomaloglossus_wothuja,5490.9
Anura,Aromobates_alboguttatus,Aromobates_alboguttatus,6426.36
Anura,Aromobates_cannatellai,Aromobates_cannatellai,5064.53
Anura,Aromobates_capurinensis,Aromobates_capurinensis,5028.53
Anura,Aromobates_duranti,Aromobates_duranti,6367.17
Anura,Aromobates_ericksonae,Aromobates_ericksonae,4930.96
Anura,Aromobates_haydeeae,Aromobates_haydeeae,5160.01
Anura,Aromobates_leopardalis,Aromobates_leopardalis,7247.38
Anura,Aromobates_mayorgai,Aromobates_mayorgai,7419.37
Anura,Aromobates_meridensis,Aromobates_meridensis,5433.35
Anura,Aromobates_molinarii,Aromobates_molinarii,4885.76
Anura,Aromobates_nocturnus,Aromobates_nocturnus,5075.28
Anura,Aromobates_ornatissimus,Aromobates_ornatissimus,5152.85
Anura,Aromobates_orostoma,Aromobates_orostoma,4993.57
Anura,Aromobates_saltuensis,Aromobates_saltuensis,5102.33
Anura,Aromobates_serranus,Aromobates_serranus,5069.65
Anura,Aromobates_tokuko,Aromobates_tokuko,5339.96
Anura,Aromobates_walterarpi,Aromobates_walterarpi,4340.65
Anura,Aromobates_zippeli,Aromobates_zippeli,6477.3
Anura,Mannophryne_caquetio,Mannophryne_caquetio,5346.31
Anura,Mannophryne_collaris,Mannophryne_collaris,6165.07
Anura,Mannophryne_cordilleriana,Mannophryne_cordilleriana,4968.33
Anura,Mannophryne_herminae,Mannophryne_herminae,5103.43
Anura,Mannophryne_lamarcai,Mannophryne_lamarcai,5227.75
Anura,Mannophryne_larandina,Mannophryne_larandina,5232
Anura,Mannophryne_leonardoi,Mannophryne_leonardoi,4943.07
Anura,Mannophryne_molinai,,5169.5
Anura,Mannophryne_neblina,Mannophryne_neblina,4994.14
Anura,Mannophryne_oblitterata,Mannophryne_oblitterata,5310.15
Anura,Mannophryne_olmonae,Mannophryne_olmonae,5514.71
Anura,Mannophryne_orellana,Mannophryne_orellana,5201.29
Anura,Mannophryne_riveroi,Mannophryne_riveroi,5484.97
Anura,Mannophryne_speeri,Mannophryne_speeri,5218.6
Anura,Mannophryne_trinitatis,Mannophryne_trinitatis,5346.1
Anura,Mannophryne_trujillensis,Mannophryne_trujillensis,4872.94
Anura,Mannophryne_urticans,Mannophryne_urticans,4942.52
Anura,Mannophryne_venezuelensis,Mannophryne_venezuelensis,5448.18
Anura,Mannophryne_vulcano,Mannophryne_vulcano,5420.62
Anura,Mannophryne_yustizi,Mannophryne_yustizi,5191.38
Anura,Rheobates_palmatus,Rheobates_palmatus,6406.48
Anura,Rheobates_pseudopalmatus,Rheobates_pseudopalmatus,5632.59
Anura,Arthroleptis_adelphus,Arthroleptis_adelphus,5470.5
Anura,Arthroleptis_adolfifriederici,Arthroleptis_adolfifriederici,5121.89
Anura,Arthroleptis_affinis,Arthroleptis_affinis,5411.86
Anura,Arthroleptis_anotis,Arthroleptis_anotis,5658.82
Anura,Arthroleptis_aureoli,Arthroleptis_aureoli,5593.58
Anura,Arthroleptis_bioko,Arthroleptis_bioko,4614.22
Anura,Arthroleptis_bivittatus,Arthroleptis_bivittatus,5498.9
Anura,Arthroleptis_brevipes,Arthroleptis_brevipes,5281.45
Anura,Arthroleptis_carquejai,Arthroleptis_carquejai,5508.81
Anura,Arthroleptis_crusculum,Arthroleptis_crusculum,5664.08
Anura,Arthroleptis_fichika,Arthroleptis_fichika,5381.22
Anura,Arthroleptis_formosus,Arthroleptis_formosus,5522.82
Anura,Arthroleptis_francei,Arthroleptis_francei,4960.99
Anura,Arthroleptis_hematogaster,Arthroleptis_hematogaster,5304.82
Anura,Arthroleptis_kidogo,Arthroleptis_kidogo,5520.43
Anura,Arthroleptis_krokosua,Arthroleptis_krokosua,5643.82
Anura,Arthroleptis_kutogundua,Arthroleptis_kutogundua,5179.04
Anura,Arthroleptis_lameerei,Arthroleptis_lameerei,5486.58
Anura,Arthroleptis_langeri,Arthroleptis_langeri,5680.59
Anura,Arthroleptis_loveridgei,Arthroleptis_loveridgei,5686.75
Anura,Arthroleptis_mossoensis,Arthroleptis_mossoensis,5643.51
Anura,Arthroleptis_nguruensis,Arthroleptis_nguruensis,5603.15
Anura,Arthroleptis_nikeae,Arthroleptis_nikeae,5687.69
Anura,Arthroleptis_nimbaensis,Arthroleptis_nimbaensis,5601.47
Anura,Arthroleptis_nlonakoensis,Arthroleptis_nlonakoensis,5335.42
Anura,Arthroleptis_palava,Arthroleptis_palava,5447.22
Anura,Arthroleptis_perreti,Arthroleptis_perreti,5289.49
Anura,Arthroleptis_phrynoides,Arthroleptis_phrynoides,5248.59
Anura,Arthroleptis_poecilonotus,Arthroleptis_poecilonotus,5505.14
Anura,Arthroleptis_pyrrhoscelis,Arthroleptis_pyrrhoscelis,5356.92
Anura,Arthroleptis_reichei,Arthroleptis_reichei,5479.66
Anura,Arthroleptis_schubotzi,Arthroleptis_schubotzi,5376.48
Anura,Arthroleptis_spinalis,Arthroleptis_spinalis,5792.75
Anura,Arthroleptis_stenodactylus,Arthroleptis_stenodactylus,5272.68
Anura,Arthroleptis_stridens,Arthroleptis_stridens,5417.67
Anura,Arthroleptis_sylvaticus,Arthroleptis_sylvaticus,5370.91
Anura,Arthroleptis_taeniatus,Arthroleptis_taeniatus,5408.36
Anura,Arthroleptis_tanneri,Arthroleptis_tanneri,5420.46
Anura,Arthroleptis_troglodytes,Arthroleptis_troglodytes,4803.66
Anura,Arthroleptis_tuberosus,Arthroleptis_tuberosus,5430.95
Anura,Arthroleptis_variabilis,Arthroleptis_variabilis,5438.23
Anura,Arthroleptis_vercammeni,Arthroleptis_vercammeni,6084.97
Anura,Arthroleptis_wahlbergii,Arthroleptis_wahlbergii,3713.3
Anura,Arthroleptis_xenochirus,Arthroleptis_xenochirus,5553.6
Anura,Arthroleptis_xenodactyloides,Arthroleptis_xenodactyloides,5313.87
Anura,Arthroleptis_xenodactylus,Arthroleptis_xenodactylus,5417.67
Anura,Arthroleptis_zimmeri,Arthroleptis_zimmeri,5691.6
Anura,Astylosternus_batesi,Astylosternus_batesi,5373.48
Anura,Astylosternus_diadematus,Astylosternus_diadematus,5376.74
Anura,Astylosternus_fallax,Astylosternus_fallax,5686.74
Anura,Astylosternus_laticephalus,Astylosternus_laticephalus,5432.57
Anura,Astylosternus_laurenti,Astylosternus_laurenti,5203.93
Anura,Astylosternus_montanus,Astylosternus_montanus,5617.49
Anura,Astylosternus_nganhanus,Astylosternus_nganhanus,5404.19
Anura,Astylosternus_occidentalis,Astylosternus_occidentalis,5531.69
Anura,Astylosternus_perreti,Astylosternus_perreti,5273.06
Anura,Astylosternus_ranoides,Astylosternus_ranoides,5346.72
Anura,Astylosternus_rheophilus,Astylosternus_rheophilus,5422.78
Anura,Astylosternus_schioetzi,Astylosternus_schioetzi,5478.71
Anura,Cardioglossa_alsco,Cardioglossa_alsco,5501.66
Anura,Cardioglossa_annulata,,5313.4
Anura,Cardioglossa_congolia,,5303.47
Anura,Cardioglossa_cyaneospila,Cardioglossa_cyaneospila,5242.38
Anura,Cardioglossa_elegans,Cardioglossa_elegans,5396.85
Anura,Cardioglossa_escalerae,Cardioglossa_escalerae,5462.33
Anura,Cardioglossa_gracilis,Cardioglossa_gracilis,5459.15
Anura,Cardioglossa_gratiosa,Cardioglossa_gratiosa,5449.42
Anura,Cardioglossa_inornata,,4893.91
Anura,Cardioglossa_leucomystax,Cardioglossa_leucomystax,5404.29
Anura,Cardioglossa_manengouba,Cardioglossa_manengouba,5418.15
Anura,Cardioglossa_melanogaster,Cardioglossa_melanogaster,5156.48
Anura,Cardioglossa_nigromaculata,Cardioglossa_nigromaculata,5377.65
Anura,Cardioglossa_occidentalis,Cardioglossa_occidentalis,5536.66
Anura,Cardioglossa_oreas,Cardioglossa_oreas,5369.15
Anura,Cardioglossa_pulchra,Cardioglossa_pulchra,5420.27
Anura,Cardioglossa_schioetzi,Cardioglossa_schioetzi,5191.98
Anura,Cardioglossa_trifasciata,Cardioglossa_trifasciata,5418.15
Anura,Cardioglossa_venusta,Cardioglossa_venusta,5246.46
Anura,Leptodactylodon_albiventris,Leptodactylodon_albiventris,5411.02
Anura,Leptodactylodon_axillaris,Leptodactylodon_axillaris,5301.85
Anura,Leptodactylodon_bicolor,Leptodactylodon_bicolor,5337.05
Anura,Leptodactylodon_blanci,Leptodactylodon_blanci,5163.63
Anura,Leptodactylodon_boulengeri,Leptodactylodon_boulengeri,5273.7
Anura,Leptodactylodon_bueanus,Leptodactylodon_bueanus,5174.63
Anura,Leptodactylodon_erythrogaster,Leptodactylodon_erythrogaster,5418.15
Anura,Leptodactylodon_mertensi,Leptodactylodon_mertensi,5238.17
Anura,Leptodactylodon_ornatus,Leptodactylodon_ornatus,5599.05
Anura,Leptodactylodon_ovatus,Leptodactylodon_ovatus,5470.88
Anura,Leptodactylodon_perreti,Leptodactylodon_perreti,5644.85
Anura,Leptodactylodon_polyacanthus,Leptodactylodon_polyacanthus,5332.14
Anura,Leptodactylodon_stevarti,Leptodactylodon_stevarti,5141.87
Anura,Leptodactylodon_ventrimarmoratus,Leptodactylodon_ventrimarmoratus,5458.41
Anura,Leptodactylodon_wildi,Leptodactylodon_wildi,5504.68
Anura,Leptopelis_anchietae,Leptopelis_anchietae,5565.86
Anura,Leptopelis_anebos,,5051.07
Anura,Leptopelis_argenteus,Leptopelis_argenteus,5413.14
Anura,Leptopelis_aubryi,Leptopelis_aubryi,5402.25
Anura,Leptopelis_aubryioides,Leptopelis_aubryioides,5402.87
Anura,Leptopelis_bequaerti,Leptopelis_bequaerti,5408.72
Anura,Leptopelis_bocagii,Leptopelis_bocagii,5537.89
Anura,Leptopelis_boulengeri,Leptopelis_boulengeri,5342.83
Anura,Leptopelis_brevipes,Leptopelis_brevipes,4488.84
Anura,Leptopelis_brevirostris,Leptopelis_brevirostris,5436.25
Anura,Leptopelis_broadleyi,,
Anura,Leptopelis_bufonides,Leptopelis_bufonides,5633.34
Anura,Leptopelis_calcaratus,Leptopelis_calcaratus,5372.93
Anura,Leptopelis_christyi,Leptopelis_christyi,5405.8
Anura,Leptopelis_concolor,Leptopelis_concolor,5777.51
Anura,Leptopelis_crystallinoron,Leptopelis_crystallinoron,5363.77
Anura,Leptopelis_cynnamomeus,Leptopelis_cynnamomeus,5546.49
Anura,Leptopelis_fenestratus,Leptopelis_fenestratus,5513.64
Anura,Leptopelis_fiziensis,Leptopelis_fiziensis,5475.55
