Species,Order,Body_Mass,ClutchSize,GenSizMed,IUCNStat_2020,IUCNTrend_2020,PhyloPosition,RangeSize (km^2),Latitude,AnnTempRange,PpSeasonality
Dendrobates_tinctorius,Anura,11.03606029,10,8.95,LC,Stable,3328,482246.5915,1.727105315,13,63
Dendropsophus_brevifrons,Anura,1.16809154,74.5,2.554,LC,Stable,1449,1486146.387,-3.29641958,11,21
Dendropsophus_koechlini,Anura,1.889386307,275,2.88,LC,Stable,1444,1137816.274,-8.374827243,14,54
Dendropsophus_microcephalus,Anura,2.599184929,217,2.85,LC,Increasing,1405,5170903.012,-0.525274364,11,39
Dendropsophus_nanus,Anura,0.996002873,325.5,1.89,LC,Stable,1399,7925171.973,-13.57540639,20,74
Dermatonotus_muelleri,Anura,39.56502038,7343.5,1.54,LC,Stable,5648,4024783.423,-16.16600812,15,81
Didynamipus_sjostedti,Anura,0.566876477,18,7.221,VU,Decreasing,96,649.4191127,4.418979963,10,52
Discoglossus_pictus,Anura,50.6014321,2828,5.25,LC,Stable,6354,227679.0007,36.41485437,31,54
Discoglossus_scovazzi,Anura,50.6014321,550,5.301,LC,Stable,6356,173775.2134,32.89834527,35,66
Duttaphrynus_melanostictus,Anura,310.1744965,20500,6.02,LC,Increasing,107,6414676.885,18.96171936,18,115
Elachistocleis_ovalis,Anura,7.18666446,385,3.715,LC,Stable,5630,10395849.53,-7.543408486,18,64
Eleutherodactylus_abbotti,Anura,1.16809154,NA,4.71,LC,Stable,3005,61260.78325,18.89028344,17,55
Eleutherodactylus_antillensis,Anura,9.031259268,33,4.19,LC,Stable,2986,8518.483948,18.19175187,13,40
Eleutherodactylus_eneidae,Anura,2.108745242,11.5,3.57,CR,Decreasing,2989,1610.58959,18.17747039,13,39
Eleutherodactylus_gossei,Anura,3.163318648,56,2.31,LC,Stable,2864,7809.138324,18.17954456,11,48
Eleutherodactylus_heminota,Anura,2.108745242,NA,3.3,EN,Decreasing,2940,6627.998492,18.34008746,14,55
Eleutherodactylus_martinicensis,Anura,9.031259268,34.5,2.41,NT,Stable,2994,5954.164711,17.08075697,14,53
Eleutherodactylus_pantoni,Anura,7.293532495,76.5,2.92,NT,NA,2871,3859.187755,18.21782392,11,44
Eleutherodactylus_planirostris,Anura,11.03606029,14,4.56,LC,Stable,2892,189004.8397,25.48754085,20,63
Eleutherodactylus_richmondi,Anura,11.03606029,24.5,3.93,CR,Decreasing,3038,265.5871632,18.24445242,13,33
Epidalea_calamita,Anura,104.2680497,6250,4.26,LC,Decreasing,102,2415459.101,48.49205354,27,24
Espadarana_prosoblepon,Anura,2.345109567,66,2.375,LC,Stable,921,281194.2419,7.717336307,13,71
Eupemphix_nattereri,Anura,16.30405183,3032.5,1.75,LC,Decreasing,791,2278589.8,-17.59768067,17,71
Fejervarya_limnocharis,Anura,42.85359781,855.5,4.15,LC,Stable,4702,8281786.571,21.14230546,24,83
Gastrophryne_carolinensis,Anura,4.934016269,911,4.87,LC,Stable,5645,1517047.892,33.41118742,34,21
Gastrotheca_marsupiata,Anura,10.75256019,115,4.103,LC,Stable,3132,251167.1713,-16.64316088,24,82
Gephyromantis_asper,Anura,2.345109567,NA,4.2,LC,Decreasing,4054,34463.16075,-18.87352607,17,66
Guibemantis_bicalcaratus,Anura,1.889386307,25,5.65,LC,Decreasing,4122,112437.5546,-19.01569407,16,62
Guibemantis_liber,Anura,1.889386307,60,4.8,LC,NA,4121,143282.0917,-19.34756171,17,73
Guibemantis_pulcher,Anura,1.68633274,NA,5.7,LC,Decreasing,4116,62656.71614,-18.99723342,17,67
Hemiphractus_proboscideus,Anura,28.48614044,23,3.302,LC,Decreasing,3223,313996.6023,-2.325921188,11,13
Hemisus_marmoratus,Anura,19.92330124,165,3.901,LC,NA,6109,9248094.534,-2.11700552,12,33
Heterixalus_betsileo,Anura,1.889386307,71,4.25,LC,Stable,5884,106303.8085,-19.74776846,18,82
Heterixalus_madagascariensis,Anura,5.355815679,NA,4.825,LC,Stable,5890,29531.4268,-17.28859591,14,47
Heterixalus_variabilis,Anura,3.163318648,NA,5.55,LC,Stable,5885,3065.47937,-13.36343467,14,101
Hoplobatrachus_rugulosus,Anura,262.6821529,2300,3.095,LC,Stable,4754,2784690.429,22.45626481,22,72
Hoplobatrachus_tigerinus,Anura,675.3238036,5750,5.02,LC,Stable,4755,3260418.479,23.12343954,30,142
Hyla_arborea,Anura,12.53147188,1100,4.76,LC,Decreasing,1020,4000168.017,46.21055764,31,23
Hyla_chrysoscelis,Anura,22.15645751,2493,4.67,LC,Stable,1008,3692047.462,39.37858386,38,22
Hyla_femoralis,Anura,7.293532495,1093,3.83,LC,Stable,1010,460152.0477,31.71703725,31,26
Hyla_gratiosa,Anura,32.82985012,2295.5,6.45,LC,Stable,1014,567627.7967,32.22541039,31,22
Hyla_japonica,Anura,9.668806291,832.5,4.64,LC,Stable,1004,3369012.583,40.86900226,44,100
Hyla_meridionalis,Anura,25.82203859,2000,4.787,LC,Stable,1027,672112.0805,36.92426013,26,47
Hyla_savignyi,Anura,10.33681038,600,4.06,LC,Stable,1022,756779.5997,34.41411145,39,95
Hyla_squirella,Anura,7.844401156,1156.5,4.3,LC,Stable,1015,737066.8719,31.54283383,31,20
Hyla_versicolor,Anura,19.92330124,1800,4.875,LC,Stable,1009,2317514.803,41.83660879,37,20
Hylarana_erythraea,Anura,46.61629604,1550,3.33,LC,Stable,4483,2087273.121,10.44287932,16,81
Hylarana_maosonensis,Anura,21.01938068,NA,5.35,LC,Decreasing,4454,65182.61481,20.95119169,20,89
Hylarana_nigrovittata,Anura,32.82985012,281,4.9,LC,Decreasing,4458,1632153.492,17.41098857,23,77
Hymenochirus_boettgeri,Anura,5.801909445,563.5,4.013,LC,NA,6342,1874238.564,0.19330149,11,29
Hyperolius_concolor,Anura,6.27305292,250,5.1,LC,Increasing,5710,1021241.226,7.23113114,15,55
Hyperolius_marmoratus,Anura,6.770005889,400,4.735,LC,Increasing,5791,1223061.925,-20.52179287,21,88
Hyperolius_nasutus,Anura,1.326370633,176,3.81,LC,NA,5826,1130422.671,-14.33717606,26,98
Hyperolius_pusillus,Anura,1.16809154,260,3.38,LC,NA,5836,797316.609,-18.02115951,21,87
Hypsiboas_albomarginatus,Anura,22.15645751,1247.5,2.63,LC,Stable,1540,539472.8737,-19.05468744,19,80
Hypsiboas_bischoffi,Anura,31.33446647,995.5,3.71,LC,Stable,1507,201163.7867,-25.5324792,18,31
Hypsiboas_cinerascens,Anura,5.894109914,502.5,4.53,LC,Stable,1582,5217902.465,-2.617696879,10,30
Hypsiboas_crepitans,Anura,41.05345795,1597.5,4.83,LC,Stable,1529,3394978.805,-6.875425212,17,63
Hypsiboas_faber,Anura,118.3966106,2862,2.73,LC,Stable,1539,1569060.245,-21.22324334,17,74
Hypsiboas_geographicus,Anura,61.58409585,2243,3.28,LC,Stable,1580,9870321.347,-7.688902725,18,65
Hypsiboas_heilprini,Anura,14.41792288,332,3.76,VU,NA,1563,34657.67581,18.9553028,17,59
Hypsiboas_lanciformis,Anura,104.2680497,1293,6.61,LC,Stable,1558,4324319.196,-4.896632974,11,39
Hypsiboas_polytaenius,Anura,6.27305292,230,2.35,LC,Stable,1519,137997.0487,-20.69617392,19,77
Hypsiboas_prasinus,Anura,15.02887126,995.5,5.15,LC,Stable,1497,257791.0786,-24.44918313,19,44
Incilius_alvarius,Anura,848.5928345,7750,5.65,LC,Stable,368,347356.7642,31.12617882,35,89
Incilius_nebulifer,Anura,243.9651047,10010.5,4.23,LC,Stable,342,568739.8331,28.71878274,28,35
Incilius_valliceps,Anura,243.9651047,27,4.6,LC,Stable,343,515111.5813,16.71933976,13,49
Kassina_senegalensis,Anura,12.53147188,350,4.47,LC,NA,5905,11552250.47,-4.290987807,12,49
Kurixalus_appendiculatus,Anura,11.03606029,NA,2.693,LC,Decreasing,3804,193792.0341,10.94577967,12,69
Laliostoma_labrosum,Anura,50.6014321,NA,3.25,LC,Stable,4236,308692.6206,-20.19501982,23,112
Leiopelma_archeyi,Anura,4.535760383,9.5,8.44,CR,Stable,6377,877.6670562,-37.28303109,19,18
Leiopelma_hochstetteri,Anura,9.031259268,90.5,8.63,LC,Decreasing,6378,11794.21556,-37.8131754,21,11
Leptodactylus_bolivianus,Anura,310.1744965,1325,1.51,LC,Stable,701,5767941.985,-1.779923863,11,22
Leptodactylus_fuscus,Anura,15.02887126,149,2.65,LC,Stable,642,11223784,-8.921211006,20,69
Leptodactylus_knudseni,Anura,581.8429221,1000,3.775,LC,Stable,674,4876854.829,-3.041180383,11,26
Leptodactylus_melanonotus,Anura,17.85081091,1009,2.52,LC,Stable,695,762922.6303,15.93043326,14,48
Leptodactylus_pentadactylus,Anura,907.5350171,900.5,4.47,LC,Stable,673,4218523.407,-5.489738964,11,48
Leptolalax_pelodytoides,Anura,5.665485551,144,2.57,LC,Stable,6205,587810.9867,18.1179328,21,89
Leptopelis_brevirostris,Anura,24.55694661,NA,5.599,LC,NA,5941,498578.3272,2.080484445,12,57
Leptopelis_vermiculatus,Anura,61.58409585,NA,3.098,EN,NA,5932,3016.832054,-7.340160434,15,85
Limnodynastes_dumerilii,Anura,57.01173656,2605,3.25,LC,Stable,3616,795024.4293,-34.21899036,29,13
